"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"42167885-ea18-41b4-be8c-5c09c330d312","0.957788233","0.0322323977","0.0020082827","0.042211767","0.9255558353","0.0302241150","0.0020082827","yes"
"3dab0b4b-42eb-4df6-a5e1-c1882df41704","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"e474c4ef-a091-47ab-85b4-ef0459e37834","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"335d18da-7a60-4f4d-8c97-d35e0f3a1360","0.001050441","3.33e-08","0.0","0.998949559","0.0010504077","3.33E-8","0.0","yes"
"910074f1-f88e-4af3-ab70-15c6c62fb16d","0.4940330698","9.47622e-05","2.85e-08","0.5059669302","0.4939383076","0.0000947337","2.85E-8","yes"
"aad9f3d3-88f9-4d4c-84a9-1895ad86ac98","0.0448538919","1.32921e-05","2.046e-07","0.9551461081","0.0448405998","0.0000130875","2.046E-7","yes"
"0368d9c6-8949-4c8a-a6f8-660606690500","0.9812001648","0.1954419341","0.0036609368","0.0187998352","0.7857582307","0.1917809973","0.0036609368","yes"
"a62ca987-944d-4b72-b5df-2b3f2efd03b4","0.1650540355","0.0001705289","3.081e-07","0.8349459645","0.1648835066","0.0001702208","3.081E-7","yes"
"031d5685-612d-49bb-9c7d-b5fa2f44abf5","0.9756899855","0.3679796691","0.1406072029","0.0243100145","0.6077103164","0.2273724662","0.1406072029","yes"
"7b863546-f113-49c9-8e99-d85db1451850","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"066ed012-4acf-47d5-a82a-09bec1b8ce95","0.8685070971","0.0009720635","8.064e-07","0.1314929029","0.8675350336","0.0009712571","8.064E-7","yes"
"bb5d8f44-9512-4f79-9960-17e968075cdd","0.8997388513","0.0017439565","1.9427e-06","0.1002611487","0.8979948948","0.0017420138","0.0000019427","yes"
"907cc67f-46e2-49a0-8354-3eeeee5f58a5","0.7950311302","0.000363648","1.847e-07","0.2049688698","0.7946674822","0.0003634633","1.847E-7","yes"
"bbff89ac-218f-4eb6-b435-af77c6315378","0.7389519645","0.0001992689","7.48e-08","0.2610480355","0.7387526956","0.0001991941","7.48E-8","yes"
"8e354c98-b37c-4548-98b9-e8b1620e6cfe","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"9df05672-2728-40e3-98f9-105b04470b90","0.8435837717","0.0006633164","4.542e-07","0.1564162283","0.8429204553","0.0006628622","4.542E-7","yes"
"321a0288-533d-4b37-9260-9b090f5311da","0.6049731863","6.42622e-05","1.37e-08","0.3950268137","0.6049089241","0.0000642485","1.37E-8","yes"
"bd845514-1fee-461e-859d-8a9dbe323bbd","0.9434972295","0.0060512689","1.2773e-05","0.0565027705","0.9374459606","0.0060384959","0.000012773","yes"
"4008b856-b536-448f-ba88-b02b861fd0a1","0.9460021708","0.0066262922","1.46514e-05","0.0539978292","0.9393758786","0.0066116408","0.0000146514","yes"
"9af417c2-f1fd-4ef1-9ef8-f4dde62b246c","0.9250757787","0.0056265752","8.496e-06","0.0749242213","0.9194492035","0.0056180792","0.000008496","yes"
"c3a296a6-0a3f-4c0f-a9f5-a582d1426911","0.6934611077","0.0030632372","4.19368e-05","0.3065388923","0.6903978705","0.0030213004","0.0000419368","yes"
"87886606-1cf0-436a-a4c0-790cb18e6bb4","0.8713127006","0.0010897607","9.657e-07","0.1286872994","0.8702229399","0.0010887950","9.657E-7","yes"
"2a740917-51ae-4c68-b38d-1950adab401c","0.8591622572","0.0009028473","7.287e-07","0.1408377428","0.8582594099","0.0009021186","7.287E-7","yes"
"5d54be8a-b352-437c-961d-829f4cc3c66a","0.848609002","0.0007669025","5.7e-07","0.151390998","0.8478420995","0.0007663325","5.7E-7","yes"
"8b514323-d99a-4528-ae82-df8d910152d6","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"af410a89-e149-4219-b74b-3c3e335b02e7","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"a5dc591d-7e29-49d5-b83c-c9ad9cb762fc","0.9216616943","0.0029286576","4.2416e-06","0.0783383057","0.9187330367","0.0029244160","0.0000042416","yes"
"d85823e9-4af0-4a65-aa09-ba9923a3a411","0.8855425889","0.0019900473","1.8725e-06","0.1144574111","0.8835525416","0.0019881748","0.0000018725","yes"
"f082cf66-a302-4a31-bfbf-a761b1034792","0.611546369","0.0014478668","6.11845e-05","0.388453631","0.6100985022","0.0013866823","0.0000611845","yes"
"075015a7-9d76-43bc-803f-bcc5e0603ac3","0.9949063036","0.4902439644","0.1341706316","0.0050936964","0.5046623392","0.3560733328","0.1341706316","yes"
"2d4cd4b8-5483-45d8-b0a7-d8bf5062e25d","0.0996070225","3.2443e-05","6.232e-07","0.9003929775","0.0995745795","0.0000318198","6.232E-7","yes"
"60955849-54c4-401d-b5ae-03c6adaa2207","0.0030119388","1.36671e-05","1.69e-07","0.9969880612","0.0029982717","0.0000134981","1.69E-7","yes"
"b9ab713a-c87a-433a-a4c4-bf3f69cbfd91","0.1490791695","6.17139e-05","1.3567e-06","0.8509208305","0.1490174556","0.0000603572","0.0000013567","yes"
"b907177e-02a8-4194-abca-2ad7d6c33596","0.1358048476","2.48549e-05","1.852e-07","0.8641951524","0.1357799927","0.0000246697","1.852E-7","yes"
"ee6fb18b-79f5-40e8-826b-3b93580c2537","0.8499439513","0.0009042681","7.434e-07","0.1500560487","0.8490396832","0.0009035247","7.434E-7","yes"
"2892dda2-0626-4e6b-91a8-4759d8c4347e","0.0975117383","6.4185e-06","1.12e-08","0.9024882617","0.0975053198","0.0000064073","1.12E-8","yes"
"7d9d9cbe-9b81-4a16-89be-5bc1af1e4982","0.6123260624","0.00131539","5.51047e-05","0.3876739376","0.6110106724","0.0012602853","0.0000551047","yes"
"28a8ae6f-c2ae-4056-9344-78bdf74efd10","0.5556106176","0.0010848103","4.29676e-05","0.4443893824","0.5545258073","0.0010418427","0.0000429676","yes"
"a8fe2a82-242a-463d-8551-8aaa58bce893","0.1684419049","7.9835e-05","1.841e-06","0.8315580951","0.1683620699","0.000077994","0.000001841","yes"
"909119c7-32a1-45b5-9c4e-f64724d82d46","0.5722189976","0.0014872576","1.56131e-05","0.4277810024","0.5707317400","0.0014716445","0.0000156131","yes"
"8149589b-8615-4b80-a575-aa5bdfd27b0b","0.6641370647","0.0019001332","8.55074e-05","0.3358629353","0.6622369315","0.0018146258","0.0000855074","yes"
"e89d271f-e9b0-4599-ad65-99f8f285e2fc","0.4162681453","0.0002019943","1.91e-08","0.5837318547","0.4160661510","0.0002019752","1.91E-8","yes"
"a644257e-aceb-4dc2-90ff-f44af089a3a0","0.4721777853","0.0100574725","0.0009114273","0.5278222147","0.4621203128","0.0091460452","0.0009114273","yes"
"ce9a82e9-f0b7-4ace-8feb-a85c3b45e661","0.8398965061","0.0078789431","0.0004775726","0.1601034939","0.8320175630","0.0074013705","0.0004775726","yes"
"b5dd25eb-da54-4dd6-99d4-4b7bf5dee330","0.1787001734","8.33369e-05","1.9518e-06","0.8212998266","0.1786168365","0.0000813851","0.0000019518","yes"
"fb0ec60c-4e69-4d51-8416-51efbfdcaac3","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"a73e81e3-5390-416c-93c6-3098da11dd50","0.0401258713","0.000297387","9.3145e-06","0.9598741287","0.0398284843","0.0002880725","0.0000093145","yes"
"1cbceab4-6144-4602-9ba9-9ead5f08e992","0.6372333067","0.0003934174","2.7938e-06","0.3627666933","0.6368398893","0.0003906236","0.0000027938","yes"
"036feca9-2cb1-4844-8bf8-36942fb59261","0.3823448983","0.0003911077","1.25513e-05","0.6176551017","0.3819537906","0.0003785564","0.0000125513","yes"
"431ce2bb-768c-48b6-abec-cbda9f3e9cfe","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"65fc43b9-3ac7-4a02-93b5-a4d2591e3480","0.0","0.0","0.0","1.0","0.0","0.0","0.0","partial"
"89e0d86c-94ae-4de8-b695-87a965a90eeb","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"cae465a0-8d36-4eaa-9bda-886067841864","0.6093770128","0.0007530459","1.51543e-05","0.3906229872","0.6086239669","0.0007378916","0.0000151543","yes"
"bff4bfce-8b10-4665-aa65-a7929aaeaaf9","0.0","0.0","0.0","1.0","0.0","0.0","0.0","no"
"128de776-940a-4f5f-b50c-38e93557d368","0.0187516464","1.0805e-06","3.2e-09","0.9812483536","0.0187505659","0.0000010773","3.2E-9","yes"
"bbf73786-8336-485f-a7a1-4f087ca5b969","0.0821588005","2.77535e-05","5.078e-07","0.9178411995","0.0821310470","0.0000272457","5.078E-7","yes"
"4b4d724d-f68e-462d-8554-197b1820853c","0.0060731442","1.225e-07","7.3e-09","0.9939268558","0.0060730217","1.152E-7","7.3E-9","yes"
"30581b7a-7f95-4197-8525-52f8b3a918d3","0.0493159572","5.8332e-06","2.86e-08","0.9506840428","0.0493101240","0.0000058046","2.86E-8","yes"
