"guid","LS_0","LS_1","LS_2","LS_3","DS_0","DS_1","DS_2","DS_3","DS_4","haz_expose","failure_probability"
"75941d02-93bf-4ef9-87d3-d882384f6c10","0.9488926067","0.6840181063","0.2494312476","0.0397630485","0.0511073933","0.2648745004","0.4345868587","0.2096681991","0.0397630485","yes","0.247"
"35909c93-4b29-4616-9cd3-989d8d604481","0.9424720139","0.6629851127","0.2312850494","0.035358113","0.0575279861","0.2794869012","0.4317000633","0.1959269364","0.035358113","yes","0.21"
"ce7d3164-ffda-4ac0-a9fa-d88c927897cc","0.9343580699","0.6382605379","0.2114407652","0.0308137117","0.0656419301","0.2960975320","0.4268197727","0.1806270535","0.0308137117","yes","0.201"
"b2bed3e1-f16c-483a-98e8-79dfd849d187","0.9137763641","0.5828293768","0.1720467017","0.0226147375","0.0862236359","0.3309469873","0.4107826751","0.1494319642","0.0226147375","yes","0.179"
"ab011d7c-0e34-4e5d-9734-34f7858d4b68","0.912963103","0.580817196","0.1707360131","0.022360448","0.087036897","0.332145907","0.4100811829","0.1483755651","0.022360448","yes","0.169"
"e0ec9dba-3dcb-47ac-be6a-57b900661115","0.9125492966","0.5797979287","0.1700750556","0.0222326625","0.0874507034","0.3327513679","0.4097228731","0.1478423931","0.0222326625","yes","0.164"
"94ee012e-876c-4d82-928d-4f02fa09c8c7","0.8515512654","0.45535798","0.1025095867","0.0107503871","0.1484487346","0.3961932854","0.3528483933","0.0917591996","0.0107503871","yes","0.101"
"0b4d9def-545b-4037-a116-fa2eddc89835","0.8488962651","0.4508420701","0.1004873757","0.0104552887","0.1511037349","0.3980541950","0.3503546944","0.0900320870","0.0104552887","yes","0.106"
"7b0fba67-1a57-410d-9c68-6d28dc4c059d","0.8457085584","0.4454975424","0.0981282919","0.010114667","0.1542914416","0.4002110160","0.3473692505","0.0880136249","0.010114667","yes","0.112"
"4e67454b-b5c2-4cad-9ba4-70f2a076e1d0","0.8538641148","0.4593409492","0.10431537","0.0110163273","0.1461358852","0.3945231656","0.3550255792","0.0932990427","0.0110163273","yes","0.109"
"0ad7747c-5c25-41db-8f58-4f384cf927ab","0.8535335816","0.4587688992","0.1040547263","0.0109778009","0.1464664184","0.3947646824","0.3547141729","0.0930769254","0.0109778009","yes","0.101"
"60748fbd-67c3-4f8d-beb9-26685a53d3c5","0.853259457","0.4582951966","0.1038392211","0.0109459825","0.146740543","0.3949642604","0.3544559755","0.0928932386","0.0109459825","yes","0.094"
"489e21bd-fe61-48ac-aec3-e0512f857df0","0.8242940449","0.41161556","0.0840034488","0.0081579629","0.1757059551","0.4126784849","0.3276121112","0.0758454859","0.0081579629","yes","0.087"
"0bb27119-70e6-45a2-9664-64764ff13ce9","0.8038962397","0.3822318421","0.0728526776","0.0067153451","0.1961037603","0.4216643976","0.3093791645","0.0661373325","0.0067153451","yes","0.082"
"5f5b4d4e-14c9-4d32-9327-81f1c37f5730","0.9604522432","0.7259844657","0.2896073652","0.0503925668","0.0395477568","0.2344677775","0.4363771005","0.2392147984","0.0503925668","yes","0.303"
"802ec43b-a7c0-4725-a434-0f29ef45812f","0.9449072898","0.6707970149","0.2378825884","0.0369317931","0.0550927102","0.2741102749","0.4329144265","0.2009507953","0.0369317931","yes","0.212"
"ef1891de-2aec-47bc-bc11-34f140f34d84","0.9434594773","0.6661293748","0.2339208605","0.0359830278","0.0565405227","0.2773301025","0.4322085143","0.1979378327","0.0359830278","yes","0.235"
"ecc76a15-9349-439b-a6ca-38701202b205","0.9404536984","0.6566540026","0.2260565228","0.034133367","0.0595463016","0.2837996958","0.4305974798","0.1919231558","0.034133367","yes","0.233"
"a0afa974-bb37-47a8-a25c-da34c03037ff","0.9397770538","0.6545593998","0.2243495032","0.0337377741","0.0602229462","0.2852176540","0.4302098966","0.1906117291","0.0337377741","yes","0.227"
"122d1115-2290-4d78-b35b-4f2fb5d5be92","0.9314466114","0.6298313205","0.2050156283","0.0294024054","0.0685533886","0.3016152909","0.4248156922","0.1756132229","0.0294024054","yes","0.19"
"b68e50d7-5875-45ab-bcbd-b80d6a791604","0.9232507277","0.6072032268","0.1885618895","0.0259204529","0.0767492723","0.3160475009","0.4186413373","0.1626414366","0.0259204529","yes","0.183"
"f0a7514c-ffcc-454f-bcd2-204383440128","0.9163876482","0.5893725456","0.1763631842","0.0234605488","0.0836123518","0.3270151026","0.4130093614","0.1529026354","0.0234605488","yes","0.176"
"748dc9d1-a442-440e-92d6-1b09b7a71f7c","0.9004253307","0.5512157939","0.152325247","0.018913124","0.0995746693","0.3492095368","0.3988905469","0.133412123","0.018913124","yes","0.133"
"6bd0f15f-152c-4a09-bc59-59a790ee6111","0.8931991608","0.5352513518","0.1430383245","0.0172622357","0.1068008392","0.3579478090","0.3922130273","0.1257760888","0.0172622357","yes","0.156"
"a109761e-d271-4f3c-b265-d093a6a7d380","0.8839803573","0.5159043886","0.1323463143","0.0154346229","0.1160196427","0.3680759687","0.3835580743","0.1169116914","0.0154346229","yes","0.147"
"eaecb77c-ffde-4e71-b05b-7659ecd2f99c","0.8796254586","0.5071292237","0.1276909879","0.0146633423","0.1203745414","0.3724962349","0.3794382358","0.1130276456","0.0146633423","yes","0.129"
"cc7e6e38-0ea4-4714-a76b-c81b8964f0ee","0.8782001966","0.5043050809","0.1262177421","0.0144223568","0.1217998034","0.3738951157","0.3780873388","0.1117953853","0.0144223568","yes","0.107"
"a8097d26-b810-494d-b7f9-0f1abf4c7301","0.8761873566","0.500355596","0.1241775519","0.0140910959","0.1238126434","0.3758317606","0.3761780441","0.1100864560","0.0140910959","yes","0.122"
"d9a0b561-6a53-4655-8722-064cd4f6d360","0.8707610868","0.489928154","0.1189018359","0.0132477691","0.1292389132","0.3808329328","0.3710263181","0.1056540668","0.0132477691","yes","0.116"
"bef45cd6-05a9-4e61-b5c1-c9de63323e81","0.8602755251","0.4706296433","0.1095485666","0.0117998995","0.1397244749","0.3896458818","0.3610810767","0.0977486671","0.0117998995","yes","0.104"
"3d5472e0-a41b-429d-8686-e93b19c6bc29","0.8526370875","0.457222127","0.1033521391","0.0108741866","0.1473629125","0.3954149605","0.3538699879","0.0924779525","0.0108741866","yes","0.118"
"5b3d717f-01d1-400b-b0fb-f78585cafcc7","0.8297197117","0.4198852516","0.0873219461","0.0086048242","0.1702802883","0.4098344601","0.3325633055","0.0787171219","0.0086048242","yes","0.091"
"1cbe5a11-abb8-4ec3-b105-e9cc924a1cc3","0.8257035333","0.4137444662","0.0848499884","0.0082711994","0.1742964667","0.4119590671","0.3288944778","0.0765787890","0.0082711994","yes","0.096"
"eff04eaf-61a4-470f-89cd-266e61ab29e0","0.8087568936","0.3890021496","0.0753354189","0.007028604","0.1912431064","0.4197547440","0.3136667307","0.0683068149","0.007028604","yes","0.07"
"c4405689-1ace-4243-b453-f096ebe93821","0.9371785558","0.6466407224","0.2179962046","0.0322837858","0.0628214442","0.2905378334","0.4286445178","0.1857124188","0.0322837858","yes","0.219"
"b5de443b-4820-40fb-bbce-c13b706aaf87","0.9241156481","0.6095194256","0.1901948343","0.0262575704","0.0758843519","0.3145962225","0.4193245913","0.1639372639","0.0262575704","yes","0.178"
"4d4b4d68-0cc8-4d6a-bccc-b418d2f990b6","0.9083842668","0.5697060059","0.1636369813","0.0210036625","0.0916157332","0.3386782609","0.4060690246","0.1426333188","0.0210036625","yes","0.158"
"d08707c8-ab4e-4fcd-9e1c-d15f054e5ff5","0.9052052737","0.5621999807","0.1589710078","0.0201307196","0.0947947263","0.3430052930","0.4032289729","0.1388402882","0.0201307196","yes","0.149"
"cf54c211-c595-4eef-b3f0-cfdd1eeb9b87","0.9059817687","0.5640181824","0.1600918404","0.0203390514","0.0940182313","0.3419635863","0.4039263420","0.1397527890","0.0203390514","yes","0.139"
"a1a15d2b-91ee-4b2a-91cb-81c3f8fef67f","0.8848521263","0.5176881358","0.133307175","0.0155956651","0.1151478737","0.3671639905","0.3843809608","0.1177115099","0.0155956651","yes","0.137"
"f7b55acf-a812-4ee6-bf11-b920ec803da0","0.8855710503","0.5191661141","0.1341070977","0.0157302161","0.1144289497","0.3664049362","0.3850590164","0.1183768816","0.0157302161","yes","0.136"
"3846247b-aee4-4ccf-bc3c-57f26dd49ff2","0.8703666778","0.4891823707","0.1185305804","0.0131891461","0.1296333222","0.3811843071","0.3706517903","0.1053414343","0.0131891461","yes","0.128"
"99e55c7b-9ebc-438d-9542-68c190dbf355","0.8543841294","0.460242865","0.1047271934","0.0110772969","0.1456158706","0.3941412644","0.3555156716","0.0936498965","0.0110772969","yes","0.105"
"2f08558d-045b-4016-9fa4-df49c3ceadde","0.8557603499","0.4626412731","0.1058276024","0.0112407918","0.1442396501","0.3931190768","0.3568136707","0.0945868106","0.0112407918","yes","0.105"
"cc480689-ff3a-4919-bb8f-dd805511905f","0.8472085291","0.4480020139","0.0992291861","0.010273134","0.1527914709","0.3992065152","0.3487728278","0.0889560521","0.010273134","yes","0.102"
"059ef072-0910-4a33-86c6-9221e58e04bf","0.8478340263","0.4490518317","0.099693057","0.0103401613","0.1521659737","0.3987821946","0.3493587747","0.0893528957","0.0103401613","yes","0.095"
"0174d606-3864-4d5d-acbe-4f7f10c36c8e","0.8368140013","0.4310122958","0.0919169287","0.0092366543","0.1631859987","0.4058017055","0.3390953671","0.0826802744","0.0092366543","yes","0.102"
"b3c6c503-417a-4d27-8fa0-db7837f7697c","0.8382015849","0.4332319262","0.092851684","0.0093670355","0.1617984151","0.4049696587","0.3403802422","0.0834846485","0.0093670355","yes","0.104"
"2a5eff60-6cf3-4124-97fc-921fb9b73b6c","0.8311266024","0.4220630572","0.0882094567","0.0087256806","0.1688733976","0.4090635452","0.3338536005","0.0794837761","0.0087256806","yes","0.091"
"d658bb62-5b1e-4733-a53e-3805d4a2e2f4","0.8325586542","0.4242942849","0.0891246754","0.0088509031","0.1674413458","0.4082643693","0.3351696095","0.0802737723","0.0088509031","yes","0.09"
"6a6edd82-02d8-4d5d-9089-9739ab9762ed","0.8223449493","0.4086936233","0.0828502467","0.0080045427","0.1776550507","0.4136513260","0.3258433766","0.0748457040","0.0080045427","yes","0.071"
"8f15ac63-3010-47f6-9fe7-0ae8542e81be","0.9691257608","0.7620314118","0.3291024277","0.062079816","0.0308742392","0.2070943490","0.4329289841","0.2670226117","0.062079816","yes","0.31"
"2b0db69c-ff61-4769-b102-ecd78a43a1dc","0.9414707015","0.6598283736","0.2286650233","0.0347419243","0.0585292985","0.2816423279","0.4311633503","0.1939230990","0.0347419243","yes","0.235"
"da47a424-5851-4091-b853-c8f53aca1e84","0.9105302987","0.5748683674","0.166906345","0.021624213","0.0894697013","0.3356619313","0.4079620224","0.145282132","0.021624213","yes","0.148"
"c1a57527-2610-4b63-9686-fcedf95d7b52","0.9041255763","0.5596878123","0.1574321743","0.0198460945","0.0958744237","0.3444377640","0.4022556380","0.1375860798","0.0198460945","yes","0.148"
"1f4f2f5a-33d0-490b-9c05-722e3611c2e6","0.9034714678","0.5581748189","0.1565108358","0.0196764581","0.0965285322","0.3452966489","0.4016639831","0.1368343777","0.0196764581","yes","0.144"
