guid,failure_probability
d658bb62-5b1e-4733-a53e-3805d4a2e2f4,0.101
2a5eff60-6cf3-4124-97fc-921fb9b73b6c,0.117
b3c6c503-417a-4d27-8fa0-db7837f7697c,0.11
0174d606-3864-4d5d-acbe-4f7f10c36c8e,0.126
059ef072-0910-4a33-86c6-9221e58e04bf,0.184
cc480689-ff3a-4919-bb8f-dd805511905f,0.109
2f08558d-045b-4016-9fa4-df49c3ceadde,0.217
99e55c7b-9ebc-438d-9542-68c190dbf355,0.119
3846247b-aee4-4ccf-bc3c-57f26dd49ff2,0.139
f7b55acf-a812-4ee6-bf11-b920ec803da0,0.407
a1a15d2b-91ee-4b2a-91cb-81c3f8fef67f,0.153
cf54c211-c595-4eef-b3f0-cfdd1eeb9b87,0.323
d08707c8-ab4e-4fcd-9e1c-d15f054e5ff5,0.331
4d4b4d68-0cc8-4d6a-bccc-b418d2f990b6,0.18
b5de443b-4820-40fb-bbce-c13b706aaf87,0.205
c4405689-1ace-4243-b453-f096ebe93821,0.256
eff04eaf-61a4-470f-89cd-266e61ab29e0,0.149
1cbe5a11-abb8-4ec3-b105-e9cc924a1cc3,0.192
5b3d717f-01d1-400b-b0fb-f78585cafcc7,0.107
3d5472e0-a41b-429d-8686-e93b19c6bc29,0.23
bef45cd6-05a9-4e61-b5c1-c9de63323e81,0.217
d9a0b561-6a53-4655-8722-064cd4f6d360,0.124
a8097d26-b810-494d-b7f9-0f1abf4c7301,0.138
cc7e6e38-0ea4-4714-a76b-c81b8964f0ee,0.135
eaecb77c-ffde-4e71-b05b-7659ecd2f99c,0.165
a109761e-d271-4f3c-b265-d093a6a7d380,0.169
6bd0f15f-152c-4a09-bc59-59a790ee6111,0.195
748dc9d1-a442-440e-92d6-1b09b7a71f7c,0.163
f0a7514c-ffcc-454f-bcd2-204383440128,0.21
b68e50d7-5875-45ab-bcbd-b80d6a791604,0.198
122d1115-2290-4d78-b35b-4f2fb5d5be92,0.397
a0afa974-bb37-47a8-a25c-da34c03037ff,0.405
ecc76a15-9349-439b-a6ca-38701202b205,0.285
ef1891de-2aec-47bc-bc11-34f140f34d84,0.424
802ec43b-a7c0-4725-a434-0f29ef45812f,0.319
5f5b4d4e-14c9-4d32-9327-81f1c37f5730,0.387
0bb27119-70e6-45a2-9664-64764ff13ce9,0.093
489e21bd-fe61-48ac-aec3-e0512f857df0,0.09
60748fbd-67c3-4f8d-beb9-26685a53d3c5,0.098
0ad7747c-5c25-41db-8f58-4f384cf927ab,0.111
4e67454b-b5c2-4cad-9ba4-70f2a076e1d0,0.126
7b0fba67-1a57-410d-9c68-6d28dc4c059d,0.127
0b4d9def-545b-4037-a116-fa2eddc89835,0.117
94ee012e-876c-4d82-928d-4f02fa09c8c7,0.127
e0ec9dba-3dcb-47ac-be6a-57b900661115,0.175
ab011d7c-0e34-4e5d-9734-34f7858d4b68,0.216
b2bed3e1-f16c-483a-98e8-79dfd849d187,0.22
ce7d3164-ffda-4ac0-a9fa-d88c927897cc,0.255
35909c93-4b29-4616-9cd3-989d8d604481,0.229
75941d02-93bf-4ef9-87d3-d882384f6c10,0.27
