"guid","sample_damage_states"
"2525e200-cdc6-4fb8-9952-f17579176fd8","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"9180f947-26ae-40bd-85f5-83a80525f6c8","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"11ddc2dc-cc92-4c90-b4cc-a99b92a26f4b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"9e58f196-9a2c-40b1-b722-69fa9c53c9d4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a4de2d54-b251-4a02-af0c-d12e0dc3670c","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8f4cb57b-4a50-4611-89a9-24fb8f778b7b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0938db0d-5174-485c-8e93-8f10b4085b3a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c2228a55-83c1-4a92-b8c0-4d5d0f974132","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c83c2e29-dccf-489c-a3c6-3ce58f0b15cb","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"b904d0a6-4277-432f-80d0-47e6fbbb3f03","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e0e73913-b55d-429b-8a72-6bc27b1522f0","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c56bc6f9-7fe5-481c-9ecb-549689d523de","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"fcf2ec56-8920-4b0f-8ec7-4375bfdeb04a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7aef4b51-8709-4d7e-a839-9ef2d59deddb","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"3d690431-8d89-4417-9a70-fdde57c0a505","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8a8e0f17-f852-4ee4-9c10-bfa13381d999","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"58cc2b3c-4b9d-4c96-b16b-d30a023b1e03","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"cc660c4d-e63b-41b1-a8a2-0019bfca5cfe","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"efff1fc9-243e-408e-9f37-1d8e7ad0ffa6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"81b6c25a-6d9b-4e85-82b8-78f2a933d3b6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"5bea85a0-a8cf-4f4f-868a-f4827c9c1b2d","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"24ab1b3c-b4d7-4426-829c-aaead261dfc7","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"5a67eefc-3843-4b11-8a96-859adafffb0d","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a71791cb-59c8-4c48-8887-859af3101b62","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"bb8ae079-728a-4b03-b534-993647d38f25","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"ece0f1ac-6b4e-4cef-94bb-1912d14763d5","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"640cd85e-006e-4d3c-af49-ab81663e1b6a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0ed16398-ac2d-463f-bcc2-599d3de883ed","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"0d2a75a1-be61-4fee-8dd9-4303c9bfaac6","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"f33138f0-a27b-4669-8065-e849bd9669cd","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"6d9d6c17-9140-4858-93e1-bd2d2ae2aa26","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"fa2a0f3b-353f-404d-b604-2e72d85606fb","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a5eac20c-af33-4a4c-95cb-d29a846f586a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"20834946-2b10-4d01-85a4-ccbeebfb13f2","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"7fa3babf-405f-40fb-b769-e3a352335482","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"62796887-4edd-40f1-84fb-9d5ad0894d9b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"5044072f-dae0-4c1e-8c1f-6d27a1717975","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e509669b-d607-4baa-adf4-d9effb2efa5b","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"9bd7eab8-4b8e-41b9-978d-85a840d46333","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a2a58a94-9718-42a1-9d1b-6e2743e012ac","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"093de4cf-71d4-4a37-94d0-0b5cf477a048","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"e1c29d8b-2fc1-4bdd-b850-7a3bfe35a2d4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"419ff653-39c3-4e32-b2d1-a21fbc97229a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"6d54b569-ecb3-412b-8d39-87568d5a119e","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"4fca4dc8-926d-4a98-abf0-fc9fb8fc5012","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"20aef644-1288-4269-a971-72dc47fc4b10","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"96262c91-bb97-4fcf-9050-14d14f4be721","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"03f8708d-42c8-42d5-83be-ab6cb0bfdab4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"8cfd13bf-adeb-4d9f-a3d5-e53ba75428b2","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a679f25f-fc7d-4892-8f75-736d7f6422f4","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"528d939a-552f-4857-9221-4a93737aa161","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"c8f082c4-9ca8-4e32-a8dd-84273c1efe0f","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"5d786946-fa8f-439e-a884-e45d42794bda","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"a6ab8d20-28b6-4e78-9fca-c3ed7f808e7a","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
"64d67a49-c5a3-44a0-ac56-3ec9f6bde780","DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0,DS_0"
