Solution_id,Number_buildings,Z,S,K
19,0,290970101001000,1,0
19,0,290970101001000,1,1
19,0,290970101001000,1,2
19,5,290970101001000,1,3
19,0,290970101001001,1,0
19,0,290970101001001,1,1
19,0,290970101001001,1,2
19,2,290970101001001,1,3
19,0,290970101001002,1,0
19,0,290970101001002,1,1
19,0,290970101001002,1,2
19,4,290970101001002,1,3
19,0,290970101001003,1,0
19,0,290970101001003,1,1
19,0,290970101001003,1,2
19,33,290970101001003,1,3
19,0,290970101001006,1,0
19,0,290970101001006,1,1
19,0,290970101001006,1,2
19,10,290970101001006,1,3
19,0,290970101001007,1,0
19,0,290970101001007,1,1
19,0,290970101001007,1,2
19,10,290970101001007,1,3
19,0,290970101001008,1,0
19,0,290970101001008,1,1
19,5,290970101001008,1,2
19,0,290970101001008,1,3
19,0,290970101001013,1,0
19,0,290970101001013,1,1
19,0,290970101001013,1,2
19,4,290970101001013,1,3
19,1,290970101001014,1,0
19,0,290970101001014,1,1
19,0,290970101001014,1,2
19,0,290970101001014,1,3
19,1,290970101001015,1,0
19,0,290970101001015,1,1
19,0,290970101001015,1,2
19,0,290970101001015,1,3
19,0,290970101001018,1,0
19,0,290970101001018,1,1
19,20,290970101001018,1,2
19,0,290970101001018,1,3
19,0,290970101001019,1,0
19,0,290970101001019,1,1
19,0,290970101001019,1,2
19,17,290970101001019,1,3
19,0,290970101001021,1,0
19,0,290970101001021,1,1
19,8,290970101001021,1,2
19,0,290970101001021,1,3
19,0,290970101001022,1,0
19,0,290970101001022,1,1
19,0,290970101001022,1,2
19,6,290970101001022,1,3
19,0,290970101001023,1,0
19,0,290970101001023,1,1
19,11,290970101001023,1,2
19,0,290970101001023,1,3
19,0,290970101001024,1,0
19,0,290970101001024,1,1
19,9,290970101001024,1,2
19,0,290970101001024,1,3
19,0,290970101001025,1,0
19,0,290970101001025,1,1
19,7,290970101001025,1,2
19,0,290970101001025,1,3
19,0,290970101001026,1,0
19,0,290970101001026,1,1
19,0,290970101001026,1,2
19,12,290970101001026,1,3
19,0,290970101001027,1,0
19,0,290970101001027,1,1
19,8,290970101001027,1,2
19,0,290970101001027,1,3
19,0,290970101001028,1,0
19,0,290970101001028,1,1
19,0,290970101001028,1,2
19,8,290970101001028,1,3
19,4,290970101001029,1,0
19,0,290970101001029,1,1
19,0,290970101001029,1,2
19,0,290970101001029,1,3
19,0,290970101001030,1,0
19,0,290970101001030,1,1
19,0,290970101001030,1,2
19,12,290970101001030,1,3
19,0,290970101001031,1,0
19,0,290970101001031,1,1
19,0,290970101001031,1,2
19,8,290970101001031,1,3
19,0,290970101001032,1,0
19,0,290970101001032,1,1
19,0,290970101001032,1,2
19,10,290970101001032,1,3
19,0,290970101001033,1,0
19,0,290970101001033,1,1
19,4,290970101001033,1,2
19,0,290970101001033,1,3
19,0,290970101001034,1,0
19,0,290970101001034,1,1
19,0,290970101001034,1,2
19,6,290970101001034,1,3
19,0,290970101001035,1,0
19,0,290970101001035,1,1
19,0,290970101001035,1,2
19,10,290970101001035,1,3
19,0,290970101001036,1,0
19,0,290970101001036,1,1
19,0,290970101001036,1,2
19,8,290970101001036,1,3
19,0,290970101001037,1,0
19,0,290970101001037,1,1
19,0,290970101001037,1,2
19,10,290970101001037,1,3
19,2,290970101001038,1,0
19,0,290970101001038,1,1
19,0,290970101001038,1,2
19,0,290970101001038,1,3
19,1,290970101001039,1,0
19,0,290970101001039,1,1
19,0,290970101001039,1,2
19,0,290970101001039,1,3
19,1,290970101001040,1,0
19,0,290970101001040,1,1
19,0,290970101001040,1,2
19,0,290970101001040,1,3
19,1,290970101001043,1,0
19,0,290970101001043,1,1
19,0,290970101001043,1,2
19,0,290970101001043,1,3
19,2,290970101001045,1,0
19,0,290970101001045,1,1
19,0,290970101001045,1,2
19,0,290970101001045,1,3
19,0,290970101001047,1,0
19,0,290970101001047,1,1
19,0,290970101001047,1,2
19,1,290970101001047,1,3
19,0,290970101001049,1,0
19,0,290970101001049,1,1
19,4,290970101001049,1,2
19,0,290970101001049,1,3
19,0,290970101001050,1,0
19,0,290970101001050,1,1
19,0,290970101001050,1,2
19,2,290970101001050,1,3
19,1,290970101001059,1,0
19,0,290970101001059,1,1
19,0,290970101001059,1,2
19,0,290970101001059,1,3
19,0,290970101001063,1,0
19,0,290970101001063,1,1
19,0,290970101001063,1,2
19,2,290970101001063,1,3
19,1,290970101001067,1,0
19,0,290970101001067,1,1
19,0,290970101001067,1,2
19,0,290970101001067,1,3
19,1,290970101001070,1,0
19,0,290970101001070,1,1
19,0,290970101001070,1,2
19,0,290970101001070,1,3
19,0,290970101001071,1,0
19,0,290970101001071,1,1
19,0,290970101001071,1,2
19,4,290970101001071,1,3
19,3,290970101001072,1,0
19,0,290970101001072,1,1
19,0,290970101001072,1,2
19,0,290970101001072,1,3
19,1,290970101001074,1,0
19,0,290970101001074,1,1
19,0,290970101001074,1,2
19,0,290970101001074,1,3
19,0,290970101001075,1,0
19,0,290970101001075,1,1
19,0,290970101001075,1,2
19,1,290970101001075,1,3
19,0,290970101001081,1,0
19,0,290970101001081,1,1
19,0,290970101001081,1,2
19,6,290970101001081,1,3
19,0,290970101002000,1,0
19,0,290970101002000,1,1
19,0,290970101002000,1,2
19,3,290970101002000,1,3
19,0,290970101002001,1,0
19,0,290970101002001,1,1
19,0,290970101002001,1,2
19,26,290970101002001,1,3
19,0,290970101002002,1,0
19,0,290970101002002,1,1
19,6,290970101002002,1,2
19,0,290970101002002,1,3
19,0,290970101002003,1,0
19,0,290970101002003,1,1
19,0,290970101002003,1,2
19,5,290970101002003,1,3
19,0,290970101002004,1,0
19,0,290970101002004,1,1
19,0,290970101002004,1,2
19,5,290970101002004,1,3
19,0,290970101002005,1,0
19,0,290970101002005,1,1
19,0,290970101002005,1,2
19,8,290970101002005,1,3
19,6,290970101002006,1,0
19,0,290970101002006,1,1
19,0,290970101002006,1,2
19,0,290970101002006,1,3
19,0,290970101002007,1,0
19,0,290970101002007,1,1
19,0,290970101002007,1,2
19,6,290970101002007,1,3
19,0,290970101002008,1,0
19,0,290970101002008,1,1
19,0,290970101002008,1,2
19,8,290970101002008,1,3
19,0,290970101002009,1,0
19,0,290970101002009,1,1
19,0,290970101002009,1,2
19,4,290970101002009,1,3
19,0,290970101002010,1,0
19,0,290970101002010,1,1
19,0,290970101002010,1,2
19,18,290970101002010,1,3
19,0,290970101002011,1,0
19,0,290970101002011,1,1
19,0,290970101002011,1,2
19,11,290970101002011,1,3
19,0,290970101002012,1,0
19,0,290970101002012,1,1
19,0,290970101002012,1,2
19,12,290970101002012,1,3
19,0,290970101002013,1,0
19,0,290970101002013,1,1
19,4,290970101002013,1,2
19,0,290970101002013,1,3
19,0,290970101002014,1,0
19,0,290970101002014,1,1
19,0,290970101002014,1,2
19,7,290970101002014,1,3
19,0,290970101002015,1,0
19,0,290970101002015,1,1
19,0,290970101002015,1,2
19,11,290970101002015,1,3
19,0,290970101002016,1,0
19,0,290970101002016,1,1
19,0,290970101002016,1,2
19,11,290970101002016,1,3
19,0,290970101002017,1,0
19,0,290970101002017,1,1
19,0,290970101002017,1,2
19,5,290970101002017,1,3
19,5,290970101002018,1,0
19,0,290970101002018,1,1
19,0,290970101002018,1,2
19,0,290970101002018,1,3
19,0,290970101002019,1,0
19,0,290970101002019,1,1
19,0,290970101002019,1,2
19,9,290970101002019,1,3
19,0,290970101002020,1,0
19,0,290970101002020,1,1
19,0,290970101002020,1,2
19,11,290970101002020,1,3
19,0,290970101002021,1,0
