"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3"
"ac8b0b44-ae82-4c48-afb8-076e2d16c7e5","0.8481486179","0.3273219989","0.0272296372","0.1518513821","0.5208266190","0.3000923617","0.0272296372"
"154b0a62-cae6-456d-8d90-635e3e1c2dcb","0.8443425299","0.3282990744","0.0286054319","0.1556574701","0.5160434555","0.2996936425","0.0286054319"
"9f9b11f8-c25c-4760-b1d2-a63bbeec8e72","0.8967744005","0.4809249093","0.0875672015","0.1032255995","0.4158494912","0.3933577078","0.0875672015"
"28321416-e473-473b-ad0a-c3c38248acc7","0.8280979553","0.2937526189","0.0273837816","0.1719020447","0.5343453364","0.2663688373","0.0273837816"
"b5069250-7a2b-47b1-9754-290528a6d72d","0.9703431004","0.1546769105","1e-10","0.0296568996","0.8156661899","0.1546769104","1E-10"
"74bbfe02-4415-4487-94c3-14a6d8ff9fe9","0.8584076905","0.3436019015","0.030156534","0.1415923095","0.5148057890","0.3134453675","0.030156534"
"11395729-3727-449d-9848-778d68edd7d8","0.923828782","0.4910344605","0.0702198184","0.076171218","0.4327943215","0.4208146421","0.0702198184"
"86b1c8fa-5ad5-4659-8687-7948a9f1f060","0.7959499209","0.2763527731","0.0236174981","0.2040500791","0.5195971478","0.2527352750","0.0236174981"
"6c0bc6d2-5c15-4972-9971-7e12910c7aae","0.8536345933","0.3427638524","0.0313006105","0.1463654067","0.5108707409","0.3114632419","0.0313006105"
"2775c640-18c1-4262-9376-f30a8abb457f","0.8793038205","0.3888690777","0.041463611","0.1206961795","0.4904347428","0.3474054667","0.041463611"
"223bebfc-a84b-40a5-816e-5833efdba419","0.7168472164","0.2701233057","0.0206248401","0.2831527836","0.4467239107","0.2494984656","0.0206248401"
"d7603d04-6917-478c-8bb7-50cf9118f973","0.8800465346","0.4459118342","0.0743619139","0.1199534654","0.4341347004","0.3715499203","0.0743619139"
"f6b04530-cde0-421e-91cf-7e9029de94b6","0.988184031","0.0031006882","1e-10","0.011815969","0.9850833428","0.0031006881","1E-10"
"e8894ecf-fc19-4415-8963-1d3431272072","0.7475891858","0.2147174498","0.0123123282","0.2524108142","0.5328717360","0.2024051216","0.0123123282"
"6dd342ef-498c-43a9-85cd-35ad76e4c279","0.8561806269","0.4469363576","0.0944679778","0.1438193731","0.4092442693","0.3524683798","0.0944679778"
"0c1c089f-650e-4985-a3ce-8ff6287c7b0f","0.5902053318","0.1228584301","0.0053907117","0.4097946682","0.4673469017","0.1174677184","0.0053907117"
"9b5f1069-34c0-474f-a2a8-58e06244ff74","0.6415425257","0.2051527642","0.0121634265","0.3584574743","0.4363897615","0.1929893377","0.0121634265"
"f6c6f3c7-198f-4e9e-a085-19ecd191b5dc","0.9936981358","0.0061186631","4e-10","0.0063018642","0.9875794727","0.0061186627","4E-10"
"e3a1d983-a809-4697-a766-91b1c2d88c4b","0.7283859692","0.1868376097","0.0085463353","0.2716140308","0.5415483595","0.1782912744","0.0085463353"
"c6bc93cd-5fb8-482d-a556-89ad4a6779d9","0.7041000099","0.257939268","0.0188416498","0.2958999901","0.4461607419","0.2390976182","0.0188416498"
"f1ea81ca-4101-4e7a-afc8-990f1aea0100","0.8000311042","0.2630035167","0.0174309661","0.1999688958","0.5370275875","0.2455725506","0.0174309661"
"3ef119b1-6432-4875-aa26-9dbf571388f1","0.8916232376","0.413490702","0.0474344296","0.1083767624","0.4781325356","0.3660562724","0.0474344296"
