guid,retrofit_key,retrofit_value
1dba1fb8-b5e0-4e33-8be5-f4888dff5742,Wood or Metal Deck Diaphragms Retrofitted,
b0642360-6cc3-4805-b000-820c1498977c,Wood or Metal Deck Diaphragms Retrofitted,
91872aa9-baa5-40e2-b3ee-4aa29b0f07c1,Wood or Metal Deck Diaphragms Retrofitted,
98362c9c-7186-4363-bec6-4af7bec947a6,Wood or Metal Deck Diaphragms Retrofitted,
e84a67d7-d596-4e9a-a45b-b22a19294b99,Wood or Metal Deck Diaphragms Retrofitted,
4f2ab780-f288-4846-91c6-b6a10fd4b39f,Wood or Metal Deck Diaphragms Retrofitted,
1368d5ed-16ea-4d34-88c1-dccb0207c1bb,Wood or Metal Deck Diaphragms Retrofitted,
6316afb3-424c-4cd8-a8e1-afce25969202,Wood or Metal Deck Diaphragms Retrofitted,
3ebd0c37-f38e-4c06-8f7e-db69964e176f,Wood or Metal Deck Diaphragms Retrofitted,
3ee963e6-df21-497d-b24f-da6d0d1b8a32,Wood or Metal Deck Diaphragms Retrofitted,
a145a9ca-665f-4635-9481-682b6a7f78af,Wood or Metal Deck Diaphragms Retrofitted,
20432737-d7dd-4f51-9eb9-58bf73fdeb60,Wood or Metal Deck Diaphragms Retrofitted,
ec7b030b-35f0-470a-8f40-bb4a0203bfc5,Wood or Metal Deck Diaphragms Retrofitted,
c0b6cc3a-3a6a-4019-9346-72d487e7830c,Wood or Metal Deck Diaphragms Retrofitted,
b85d84ab-480a-4c34-9392-f48117b23731,Wood or Metal Deck Diaphragms Retrofitted,
5f14b8d5-ab34-41e7-a78b-c4d012ac6e98,Wood or Metal Deck Diaphragms Retrofitted,
26246822-d5fb-4608-9e81-24e461200395,Wood or Metal Deck Diaphragms Retrofitted,
2163cfea-fa95-4cb3-a30f-29151aa5e48b,Wood or Metal Deck Diaphragms Retrofitted,
4a6cae78-c5b9-4dfa-8dfd-0f8808680924,Wood or Metal Deck Diaphragms Retrofitted,
c06dd463-bf66-4e0a-a364-351be8a4d88a,Wood or Metal Deck Diaphragms Retrofitted,
f667a5b6-a2a5-43c7-9272-7282083f2d54,Wood or Metal Deck Diaphragms Retrofitted,
4bc1b4cf-1a90-43b4-905c-4c61a4321ba5,Wood or Metal Deck Diaphragms Retrofitted,
f130e95d-b6f0-482c-879c-3180a1fccf92,Wood or Metal Deck Diaphragms Retrofitted,
4a4cf82b-fea9-4d7f-84e4-1b630501c442,Wood or Metal Deck Diaphragms Retrofitted,
55736188-4f22-4fa9-9eca-f04e00bc0780,Wood or Metal Deck Diaphragms Retrofitted,
737541c7-cd31-4fc4-b94f-4f2ea43c537b,Wood or Metal Deck Diaphragms Retrofitted,
f1769c92-3fad-48f3-8ccb-19389a789748,Wood or Metal Deck Diaphragms Retrofitted,
5d813ede-f627-4c83-9bba-57f4e3daafcb,Wood or Metal Deck Diaphragms Retrofitted,
efd8b2ac-3d10-43f4-890e-af34b6bc52a3,Wood or Metal Deck Diaphragms Retrofitted,
3b8e395f-0a96-4eb0-9aed-7060e0c9a4d9,Wood or Metal Deck Diaphragms Retrofitted,
905bbb13-0b01-4bfe-92f1-541e2a6af170,Wood or Metal Deck Diaphragms Retrofitted,
177e98df-0ed2-439d-bc89-071b349b2260,Wood or Metal Deck Diaphragms Retrofitted,
9d47821c-7d8a-461b-8816-c0e0fd882e8b,Wood or Metal Deck Diaphragms Retrofitted,
147f670d-bb3d-40c0-8ec3-7315b363b2a0,Wood or Metal Deck Diaphragms Retrofitted,
db6b5dc3-7fd9-4977-a013-b9f8b711a539,Wood or Metal Deck Diaphragms Retrofitted,
6d5e406f-5e51-492d-aee1-d89e560f2c63,Wood or Metal Deck Diaphragms Retrofitted,
137564a2-074a-47ae-94b7-a394f9638585,Wood or Metal Deck Diaphragms Retrofitted,
fedf4576-5aa3-4dce-bbaa-fa279545c75d,Wood or Metal Deck Diaphragms Retrofitted,
866e445f-e0d5-465c-ba4c-4af0fd11fcf4,Wood or Metal Deck Diaphragms Retrofitted,
0cc184cd-2c1c-4113-9efd-1bb6b60a42b1,Wood or Metal Deck Diaphragms Retrofitted,
06614f2c-1ba8-4cbd-b62e-dd6d04897061,Wood or Metal Deck Diaphragms Retrofitted,
08708623-999b-4d0e-b56c-7b114830ec20,Wood or Metal Deck Diaphragms Retrofitted,
36370d6a-c181-4a75-bfaf-546cfce0ee61,Wood or Metal Deck Diaphragms Retrofitted,
fae72f03-7846-468f-a16e-8f3b20eb5f0b,Wood or Metal Deck Diaphragms Retrofitted,
e294586d-fcd0-431a-b8d7-7f878fec1057,Wood or Metal Deck Diaphragms Retrofitted,
510c72e6-0331-4614-8bac-22e11aebf920,Wood or Metal Deck Diaphragms Retrofitted,
35b74e07-9db7-48e7-8cf8-7d3d3cc43591,Wood or Metal Deck Diaphragms Retrofitted,
50d2b6df-a114-4603-97e1-e9ea0608c814,Wood or Metal Deck Diaphragms Retrofitted,
8d244711-1f4b-4057-a0a1-e79fc49d4009,Wood or Metal Deck Diaphragms Retrofitted,
da9e9702-1e33-47c1-b413-4d5729deb6e4,Wood or Metal Deck Diaphragms Retrofitted,
98a4566c-2d93-48b4-b3c9-ea7314a0a559,Wood or Metal Deck Diaphragms Retrofitted,
7d861990-eb16-485e-9fc7-ac76be553e1e,Wood or Metal Deck Diaphragms Retrofitted,
2cf43cc0-e260-4fee-b3cd-bd426a3bc5f6,Wood or Metal Deck Diaphragms Retrofitted,
c3d7e6f7-fd9d-4765-9f71-1570fbc35c38,Wood or Metal Deck Diaphragms Retrofitted,
b272d19d-d085-47d5-919f-15b65f489ea5,Wood or Metal Deck Diaphragms Retrofitted,
76280c7e-69a3-4350-b4bb-e466deb9e00d,Wood or Metal Deck Diaphragms Retrofitted,
c8c413c2-aa68-4a6f-845f-dd78505c30fc,Wood or Metal Deck Diaphragms Retrofitted,
ec791134-1ab5-4bf1-a1d7-0ae678fe028c,Wood or Metal Deck Diaphragms Retrofitted,
17f0bc0e-54b1-4696-bfe4-ccb6bf91f288,Wood or Metal Deck Diaphragms Retrofitted,
678f6611-cd06-43e0-99a7-b42189abbb15,Wood or Metal Deck Diaphragms Retrofitted,
550a0789-dd57-48ca-baf3-ca1d7a3e670a,Wood or Metal Deck Diaphragms Retrofitted,
4f0178c6-6710-4c84-8e4d-d65fcd2fef23,Wood or Metal Deck Diaphragms Retrofitted,
47aff9b5-658a-4498-a3c9-27a33c2369ae,Wood or Metal Deck Diaphragms Retrofitted,
ce23df74-faa4-421f-8baf-5abd5526f4b6,Wood or Metal Deck Diaphragms Retrofitted,
f1e82eeb-f27e-4d56-82da-cc018ebfc2b6,Wood or Metal Deck Diaphragms Retrofitted,
c16f6759-d231-489c-bbae-d2f4a8f974c6,Wood or Metal Deck Diaphragms Retrofitted,
27598be3-4224-496c-94b7-82a8be47abe1,Wood or Metal Deck Diaphragms Retrofitted,
371624e1-5d0b-4d28-b6ef-3668a0532aad,Wood or Metal Deck Diaphragms Retrofitted,
c20b784d-86cc-411f-a6ee-3e4f2fcfd12e,Wood or Metal Deck Diaphragms Retrofitted,
f52ea8ac-ca98-4c29-9514-becaaed078e2,Wood or Metal Deck Diaphragms Retrofitted,
bc1b6de4-6917-44ca-a4b1-5bdbe2c28b28,Wood or Metal Deck Diaphragms Retrofitted,
c2733ac5-c2a1-48bc-8f72-145fcd76a508,Wood or Metal Deck Diaphragms Retrofitted,
d4460f12-542b-4d11-92b4-604f8ee3ee2e,Wood or Metal Deck Diaphragms Retrofitted,
3dadb887-680c-492f-bbf2-81280b1b5540,Wood or Metal Deck Diaphragms Retrofitted,
7af76a82-a454-455d-9de2-42f5fd155718,Wood or Metal Deck Diaphragms Retrofitted,
a3d490db-15ef-4eaa-80e0-48cd98871397,Wood or Metal Deck Diaphragms Retrofitted,
2d5f804a-74d8-454b-82a2-d39143395469,Wood or Metal Deck Diaphragms Retrofitted,
90743d2a-ddd3-4545-b979-3468acfcf26d,Wood or Metal Deck Diaphragms Retrofitted,
77d945a9-4b76-47b5-ad05-926d22dbddd8,Wood or Metal Deck Diaphragms Retrofitted,
c27a4e49-2e92-4a97-861d-f8090058ddd4,Wood or Metal Deck Diaphragms Retrofitted,
b3e79d4b-77c0-4fbc-8c11-956e48eff223,Wood or Metal Deck Diaphragms Retrofitted,
582e5fbb-23ed-4d55-a8bd-7a2f6215ec3e,Wood or Metal Deck Diaphragms Retrofitted,
c824ea5e-6d09-41a2-a2f6-5dc9e7e32b70,Wood or Metal Deck Diaphragms Retrofitted,
14830a41-2cd3-4ec5-8b34-e51c75568f3d,Wood or Metal Deck Diaphragms Retrofitted,
903e668a-3f62-4539-9f7e-d6503d432f34,Wood or Metal Deck Diaphragms Retrofitted,
8d7ffd9c-9e41-4fc7-8c1b-00cf41fbc5a5,Wood or Metal Deck Diaphragms Retrofitted,
3b2829e7-d030-483a-90d7-f1fcb0da3d87,Wood or Metal Deck Diaphragms Retrofitted,
dd21ef42-c5ad-438c-9931-4935747cbfce,Wood or Metal Deck Diaphragms Retrofitted,
c1c63196-0027-420a-9f02-31ad12dc73df,Wood or Metal Deck Diaphragms Retrofitted,
1d4c9d74-0b2b-43e8-ae22-95c691fd5b06,Wood or Metal Deck Diaphragms Retrofitted,
d619367d-f0cb-4422-bee9-51aa12718f73,Wood or Metal Deck Diaphragms Retrofitted,
4b02d06d-4321-4fc2-8d79-fa08c57eb7a1,Wood or Metal Deck Diaphragms Retrofitted,
45f4e1f1-6b96-4345-a56e-0899fc6a6b34,Wood or Metal Deck Diaphragms Retrofitted,
f090b801-10d8-4183-ac01-159f2de30250,Wood or Metal Deck Diaphragms Retrofitted,
